time,client_id,temperature,humidity
2019-07-31 11:43:19,node00,27.20,95.00
2019-07-31 11:44:14,node00,28.60,95.00
2019-07-31 11:48:46,node00,28.42,95.00
2019-07-31 11:53:18,node00,28.87,95.00
2019-07-31 11:57:50,node00,28.55,95.00
2019-07-31 12:02:22,node00,28.73,95.00
2019-07-31 12:06:54,node00,28.59,95.00
2019-07-31 12:11:26,node00,28.69,95.00
2019-07-31 12:15:58,node00,28.69,95.00
2019-07-31 12:16:52,node00,29.90,95.00
2019-07-31 12:17:46,node00,28.70,95.00
2019-07-31 12:22:19,node00,28.61,95.00
2019-07-31 12:24:07,node00,26.90,95.00
2019-07-31 12:25:02,node00,28.70,95.00
2019-07-31 12:29:34,node00,28.64,95.00
2019-07-31 12:39:42,node00,28.61,95.00
2019-07-31 12:44:14,node00,28.95,95.00
2019-07-31 12:48:46,node00,29.00,95.00
2019-07-31 12:52:23,node00,29.80,95.00
2019-07-31 12:53:18,node00,28.70,95.00
2019-07-31 12:56:01,node00,30.10,95.00
2019-07-31 12:56:56,node00,28.70,95.00
2019-07-31 12:58:44,node00,27.10,95.00
2019-07-31 12:59:39,node00,28.80,95.00
2019-07-31 13:04:11,node00,28.86,95.00
2019-07-31 13:06:00,node00,30.30,95.00
2019-07-31 13:06:54,node00,28.80,95.00
2019-07-31 13:09:37,node00,27.50,95.00
2019-07-31 13:10:31,node00,28.80,95.00
2019-07-31 13:15:04,node00,28.71,95.00
2019-07-31 13:19:36,node00,28.70,95.00
2019-07-31 13:24:07,node00,29.90,95.00
2019-07-31 13:25:02,node00,28.80,95.00
2019-07-31 13:29:34,node00,28.76,95.00
2019-07-31 13:34:06,node00,28.76,95.00
2019-07-31 13:38:38,node00,28.77,95.00
2019-07-31 13:39:32,node00,27.20,95.00
2019-07-31 13:40:27,node00,28.80,95.00
2019-07-31 13:44:59,node00,28.79,95.00
2019-07-31 13:49:31,node00,28.81,95.00
2019-07-31 13:54:03,node00,28.77,95.00
2019-07-31 13:58:35,node00,27.30,95.00
2019-07-31 13:59:29,node00,28.80,95.00
2019-07-31 14:04:01,node00,28.75,95.00
2019-07-31 14:04:56,node00,27.10,95.00
2019-07-31 14:05:50,node00,28.80,95.00
2019-07-31 14:08:33,node00,27.60,95.00
2019-07-31 14:09:28,node00,28.80,95.00
2019-07-31 14:14:00,node00,28.74,95.00
2019-07-31 14:20:34,node00,28.70,95.00
2019-07-31 14:21:28,node00,27.70,95.00
2019-07-31 14:22:23,node00,28.80,95.00
2019-07-31 14:25:06,node00,27.10,95.00
2019-07-31 14:26:00,node00,28.80,95.00
2019-07-31 14:30:32,node00,28.77,95.00
2019-07-31 14:32:21,node00,27.10,95.00
2019-07-31 14:33:15,node00,28.80,95.00
2019-07-31 14:37:47,node00,28.81,95.00
2019-07-31 14:42:19,node00,28.67,95.00
2019-07-31 14:44:08,node00,26.90,95.00
2019-07-31 14:45:03,node00,28.60,95.00
2019-07-31 14:49:35,node00,28.51,95.00
2019-07-31 14:50:29,node00,26.80,95.00
2019-07-31 14:51:24,node00,28.60,95.00
2019-07-31 14:55:55,node00,28.68,95.00
2019-07-31 15:00:27,node00,28.54,95.00
2019-07-31 15:04:59,node00,28.52,95.00
2019-07-31 15:09:32,node00,28.51,95.00
2019-07-31 15:14:04,node00,28.51,95.00
2019-07-31 15:18:36,node00,28.44,95.00
2019-07-31 15:23:07,node00,28.44,95.00
2019-07-31 15:27:39,node00,28.32,95.00
2019-07-31 15:32:11,node00,28.29,95.00
2019-07-31 15:36:44,node00,27.99,95.00
2019-07-31 15:37:38,node00,26.40,95.00
2019-07-31 15:38:33,node00,28.10,95.00
2019-07-31 15:40:21,node00,29.10,95.00
2019-07-31 15:44:53,node00,27.98,95.00
2019-07-31 15:49:25,node00,28.12,95.00
2019-07-31 15:53:57,node00,28.22,95.00
2019-07-31 15:58:29,node00,28.27,95.00
2019-07-31 16:03:01,node00,26.60,95.00
2019-07-31 16:03:55,node00,28.10,95.00
2019-07-31 16:08:27,node00,28.21,95.00
2019-07-31 16:13:00,node00,28.11,95.00
2019-07-31 16:17:31,node00,26.50,95.00
2019-07-31 16:18:26,node00,28.10,95.00
2019-07-31 16:22:58,node00,28.27,95.00
2019-07-31 16:27:30,node00,28.52,95.00
2019-07-31 16:32:02,node00,28.20,95.00
2019-07-31 16:32:56,node00,26.90,95.00
2019-07-31 16:33:51,node00,28.30,95.00
2019-07-31 16:38:23,node00,28.16,95.00
2019-07-31 16:42:55,node00,28.14,95.00
2019-07-31 16:47:27,node00,26.90,95.00
2019-07-31 16:48:21,node00,28.20,95.00
2019-07-31 16:49:17,node00,27.10,95.00
2019-07-31 16:50:10,node00,28.10,95.00
2019-07-31 16:52:54,node00,26.90,95.00
2019-07-31 16:57:26,node00,28.12,95.00
2019-07-31 17:01:58,node00,28.20,95.00
2019-07-31 17:06:30,node00,28.08,95.00
2019-07-31 17:11:02,node00,28.14,95.00
2019-07-31 17:15:34,node00,28.19,95.00
2019-07-31 17:20:07,node00,28.20,95.00
2019-07-31 17:24:39,node00,28.11,95.00
2019-07-31 17:26:28,node00,26.50,95.00
2019-07-31 17:27:23,node00,28.20,95.00
2019-07-31 17:31:55,node00,26.50,95.00
2019-07-31 17:32:49,node00,28.20,95.00
2019-07-31 17:34:38,node00,29.20,95.00
2019-07-31 17:35:32,node00,28.10,95.00
2019-07-31 17:40:05,node00,28.03,95.00
2019-07-31 17:44:36,node00,27.96,95.00
2019-07-31 17:49:09,node00,28.16,95.00
2019-07-31 17:53:41,node00,28.15,95.00
2019-07-31 17:56:24,node00,29.20,95.00
2019-07-31 17:57:18,node00,28.10,95.00
2019-07-31 17:59:07,node00,29.60,95.00
2019-07-31 18:00:01,node00,28.10,95.00
2019-07-31 18:01:50,node00,27.10,95.00
2019-07-31 18:02:45,node00,28.10,95.00
2019-07-31 18:07:17,node00,28.08,95.00
2019-07-31 18:10:54,node00,29.40,95.00
2019-07-31 18:11:49,node00,28.20,95.00
2019-07-31 18:16:21,node00,28.12,95.00
2019-07-31 18:18:10,node00,26.60,95.00
2019-07-31 18:19:04,node00,28.00,95.00
2019-07-31 18:20:53,node00,26.60,95.00
2019-07-31 18:21:47,node00,28.20,95.00
2019-07-31 18:26:19,node00,27.96,95.00
2019-07-31 18:31:24,node00,28.13,95.00
2019-07-31 18:35:56,node00,28.04,95.00
2019-07-31 18:39:34,node00,29.50,95.00
2019-07-31 18:40:35,node00,27.90,95.00
2019-07-31 18:45:08,node00,27.98,95.00
2019-07-31 18:49:40,node00,28.11,95.00
2019-07-31 18:54:11,node00,25.80,95.00
2019-07-31 18:55:06,node00,28.20,95.00
2019-07-31 18:56:55,node00,26.00,95.00
2019-07-31 18:57:49,node00,28.20,95.00
2019-07-31 19:02:21,node00,28.14,95.00
2019-07-31 19:06:53,node00,28.10,95.00
2019-07-31 19:08:46,node00,26.90,95.00
2019-07-31 19:09:40,node00,28.10,95.00
2019-07-31 19:13:18,node00,26.10,95.00
2019-07-31 19:14:12,node00,27.90,95.00
2019-07-31 19:18:44,node00,28.09,95.00
2019-07-31 19:23:16,node00,27.92,95.00
2019-07-31 19:27:48,node00,28.01,95.00
2019-07-31 19:32:20,node00,27.96,95.00
2019-07-31 19:36:52,node00,28.02,95.00
2019-07-31 19:40:30,node00,25.80,95.00
2019-07-31 19:41:25,node00,27.70,95.00
2019-07-31 19:44:08,node00,26.20,95.00
2019-07-31 19:45:02,node00,27.80,95.00
2019-07-31 19:49:34,node00,27.82,95.00
2019-07-31 19:54:06,node00,27.81,95.00
2019-07-31 19:55:01,node00,29.90,95.00
2019-07-31 19:55:55,node00,27.80,95.00
2019-07-31 20:00:27,node00,27.89,95.00
2019-07-31 20:04:59,node00,26.60,95.00
2019-07-31 20:05:53,node00,27.90,95.00
2019-07-31 20:10:26,node00,27.90,95.00
2019-07-31 20:14:58,node00,29.30,95.00
2019-07-31 20:15:52,node00,28.00,95.00
2019-07-31 20:17:41,node00,29.60,95.00
2019-07-31 20:18:35,node00,28.00,95.00
2019-07-31 20:23:07,node00,28.07,95.00
2019-07-31 20:27:39,node00,27.95,95.00
2019-07-31 20:32:11,node00,28.09,95.00
2019-07-31 20:35:49,node00,26.10,95.00
2019-07-31 20:36:44,node00,28.00,95.00
2019-07-31 20:38:32,node00,25.80,95.00
2019-07-31 20:39:27,node00,27.90,95.00
2019-07-31 20:43:59,node00,28.29,95.00
2019-07-31 20:47:36,node00,29.40,95.00
2019-07-31 20:48:31,node00,28.10,95.00
2019-07-31 20:53:03,node00,28.01,95.00
2019-07-31 20:57:35,node00,27.86,95.00
2019-07-31 21:02:07,node00,27.89,95.00
2019-07-31 21:04:50,node00,29.90,95.00
2019-07-31 21:05:44,node00,27.90,95.00
2019-07-31 21:10:16,node00,27.94,95.00
2019-07-31 21:12:05,node00,26.30,95.00
2019-07-31 21:13:00,node00,27.90,95.00
2019-07-31 21:14:48,node00,25.70,95.00
2019-07-31 21:15:43,node00,28.10,95.00
2019-07-31 21:20:15,node00,28.14,95.00
2019-07-31 21:24:47,node00,28.09,95.00
2019-07-31 21:27:30,node00,29.10,95.00
2019-07-31 21:28:25,node00,28.10,95.00
2019-07-31 21:32:38,node00,29.60,95.00
2019-07-31 21:33:33,node00,27.90,95.00
2019-07-31 21:38:05,node00,26.30,95.00
2019-07-31 21:38:59,node00,28.10,95.00
2019-07-31 21:43:31,node00,27.91,95.00
2019-07-31 21:47:09,node00,30.10,95.00
2019-07-31 21:48:03,node00,28.00,95.00
2019-07-31 21:49:52,node00,29.10,95.00
2019-07-31 21:50:47,node00,28.00,95.00
2019-07-31 21:55:19,node00,28.07,95.00
2019-07-31 21:59:51,node00,27.97,95.00
2019-07-31 22:04:23,node00,28.19,95.00
